filename,ext,total_sectors,total_bytes,resident,frags,persistence...
Documents and Settings/All Users/Application Data/avg9/Antispam/sc17.bin.incr.2009.11.10.22.01.01,01,2,1024,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
WINDOWS/Temp/e7c76191-fb02-4eb5-8e0c-250f9e3cf2cd.tmp,tmp,2,1024,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Documents and Settings/All Users/Application Data/avg9/Antispam/sc17.bin.incr.2009.11.11.07.01.00.lkr1,lkr1,344,176128,0,3,344,344,339,339,335,302,290,289,232,232,232,232,232,106,106,106
Documents and Settings/All Users/Application Data/avg9/Antispam/sc17.bin.incr.2009.11.11.04.01.00.lkr1,lkr1,464,237568,0,4,464,456,420,420,364,364,364,364,364,364,364,364,364,108,108,108
Documents and Settings/Pat/Cookies/pat@bizographics[2].txt,txt,2,1024,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Documents and Settings/All Users/Application Data/avg9/Log/avgsched.log.4,4,2001,1024512,0,45,2001,2001,2001,2001,49,49,22,22,22,22,22,22,22,22,22,22
Documents and Settings/All Users/Application Data/avg9/Antispam/sc17.bin.incr.2009.11.11.02.00.59,59,1,512,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Documents and Settings/Pat/Local Settings/Application Data/Mozilla/Firefox/Profiles/6tx4mh5h.default/urlclassifier3.sqlite-journal,sqlite-journal,11987,6137344,0,17,11987,1218,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,919,919,919
$AVG/$CHJW/avgcchff.dat,dat,2131,1091072,0,21,2131,18,11,11,11,11,11,0,0,0,0,0,0,0,0,0
WINDOWS/SoftwareDistribution/DataStore/Logs/tmp.edb,edb,128,65536,0,2,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Documents and Settings/All Users/Application Data/avg9/IDS/malwareprofile/backup.dat,dat,976,499712,0,1,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Documents and Settings/All Users/Application Data/avg9/Chjw/cm-0-p.dat,dat,1,512,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Documents and Settings/All Users/Application Data/avg9/Chjw/cm-2-i.dat,dat,1,512,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
